0.08	So, I figured out how to turn Claude
1.52	Code into the best business partner I
3.36	could ask for. And I made three times
5.04	more money in the past 30 days. You see,
7.04	Claude has these problems that a lot of
8.96	people don't ever notice. And every one
10.56	of those is costing you time and money
12.32	on stuff that's never going to work. So,
14.16	what I did is I built a set of four
15.76	upgrades to fix every one of those
17.76	issues. So, these four upgrades turn
19.44	Claude into something that actually
20.56	makes you money instead of just wasting
22.00	your time. And it doesn't matter if
23.04	you're trying to build an app or you're
24.40	running an agency or you're doing AI
26.08	consulting. This works for anything that
27.84	you want to do inside of Claude code.
29.36	So, in this video, I'm going to show you
30.56	guys the four upgrades and exactly how
32.16	you can use them to make more money. So,
34.08	let's get into it. Claude has a few
35.84	habits that quietly work against what
37.84	you're trying to do. Little things that
39.04	you might not think twice about. So,
40.56	think about how most people use Claude.
42.24	You open it up, you type what you want,
43.60	you get an answer, and you just kind of
45.04	assume that that is the best possible
46.48	answer that you could have gotten
47.52	because, you know, Claude code is one of
48.96	the best AI tools out there, and the
50.72	models underneath it, like Opus, are
52.48	super super smart. So, it's very easy to
54.24	just trust what it says. But there are
55.92	these errors that are baked into
57.20	Claude's design that make your results
58.96	worse than they should be. So by
60.32	default, Claude is tuned to make you
61.92	feel productive. It is not tuned to make
64.32	you money. And these are two completely
65.92	different things. And every one of those
67.52	design errors is costing you money
69.20	because your income is basically capped
70.64	by [music] two things. The first one is
71.92	the quality of your output. And the
73.20	second one is how fast you can produce
74.88	it. So the better the output you get and
76.48	the faster you get it, the more money
77.94	[music] you can make. I'm sure we can
78.96	all think of many specific moments where
80.56	it felt like Claude was just trying to
82.08	get us to spend more tokens or was lying
83.84	to us about features that it had built
85.28	or you know you feel like you're just
86.56	repeating yourself a ton. But the good
88.40	news is you don't need to go rewrite
89.84	Claude's codebase to fix any of these
91.60	things. You literally just need these
93.12	four upgrades. And before I started
94.48	using these, I remember launching
96.08	promotions that did not do very well at
97.68	all or shipping automations that were
99.04	silently failing or pushing out websites
100.96	or apps with a ton of bugs. So that's
102.72	basically the whole arc. But before we
104.00	get into the first upgrade, if you want
105.44	to get these prompts and skills and see
107.04	how your results get better, then you
108.64	can get them for completely free inside
110.08	of my free school community. The link
111.84	for that is in the description. Okay, so
